locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPPBIMDH_00035	CDS	441	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
OPPBIMDH_00036	CDS	510				hypothetical protein
OPPBIMDH_00037	CDS	864				hypothetical protein
OPPBIMDH_00038	CDS	540				hypothetical protein
OPPBIMDH_00039	CDS	1074				hypothetical protein
OPPBIMDH_00040	CDS	1362				hypothetical protein
OPPBIMDH_00041	CDS	387	glbO		COG2346	Group 2 truncated hemoglobin GlbO
OPPBIMDH_00042	CDS	462				hypothetical protein
OPPBIMDH_00043	CDS	663				hypothetical protein
OPPBIMDH_00044	CDS	444				hypothetical protein
OPPBIMDH_00045	CDS	1677	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
OPPBIMDH_00046	CDS	276				hypothetical protein
OPPBIMDH_00047	CDS	387				hypothetical protein
OPPBIMDH_00048	CDS	1401	otsA_1	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
OPPBIMDH_00049	CDS	2601				hypothetical protein
OPPBIMDH_00050	CDS	1260	cysG_1		COG0007	Siroheme synthase
OPPBIMDH_00051	CDS	1071	cobT_1	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
OPPBIMDH_00052	CDS	1083		2.6.1.-	COG0079	putative aminotransferase
OPPBIMDH_00053	CDS	2061	pbpG_1		COG0744	Penicillin-binding protein 2D
OPPBIMDH_00054	CDS	570				hypothetical protein
OPPBIMDH_00055	CDS	1371	cobB_1	6.3.5.9	COG1797	Hydrogenobyrinate a,c-diamide synthase
OPPBIMDH_00056	CDS	819			COG3346	putative SURF1-like protein
OPPBIMDH_00057	CDS	342				hypothetical protein
OPPBIMDH_00058	CDS	699				hypothetical protein
OPPBIMDH_00059	CDS	1584	ligB	6.5.1.1	COG1793	DNA ligase B
OPPBIMDH_00060	CDS	243				hypothetical protein
OPPBIMDH_00061	CDS	1365	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
OPPBIMDH_00062	CDS	744				hypothetical protein
OPPBIMDH_00063	CDS	402				hypothetical protein
OPPBIMDH_00064	CDS	1545	cobQ		COG1492	Cobyric acid synthase
OPPBIMDH_00065	CDS	1053	cobD		COG1270	Cobalamin biosynthesis protein CobD
OPPBIMDH_00066	CDS	822				Single-stranded DNA-binding protein
OPPBIMDH_00067	CDS	411				hypothetical protein
OPPBIMDH_00068	CDS	1005				hypothetical protein
OPPBIMDH_00069	CDS	735				hypothetical protein
OPPBIMDH_00070	tRNA	76				tRNA-Arg(tct)
OPPBIMDH_00071	CDS	528				hypothetical protein
OPPBIMDH_00072	CDS	348				hypothetical protein
OPPBIMDH_00073	CDS	594				hypothetical protein
OPPBIMDH_00074	CDS	552				hypothetical protein
OPPBIMDH_00075	CDS	729		1.-.-.-		putative oxidoreductase
OPPBIMDH_00076	CDS	393				hypothetical protein
OPPBIMDH_00077	CDS	756				hypothetical protein
OPPBIMDH_00078	CDS	411				hypothetical protein
OPPBIMDH_00079	CDS	441				hypothetical protein
OPPBIMDH_00080	CDS	801				hypothetical protein
OPPBIMDH_00081	CDS	1176				hypothetical protein
OPPBIMDH_00082	CDS	1197				hypothetical protein
OPPBIMDH_00083	CDS	717	narL		COG2197	putative transcriptional regulatory protein NarL
OPPBIMDH_00084	CDS	735				hypothetical protein
OPPBIMDH_00085	CDS	753				hypothetical protein
OPPBIMDH_00086	CDS	390				hypothetical protein
OPPBIMDH_00087	CDS	2064				hypothetical protein
OPPBIMDH_00088	CDS	372				hypothetical protein
OPPBIMDH_00089	CDS	417	hrp1_1		COG0517	Hypoxic response protein 1
OPPBIMDH_00090	CDS	678				Potassium channel
OPPBIMDH_00091	CDS	978	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
OPPBIMDH_00092	CDS	1344		3.4.24.-	COG0612	putative zinc protease
OPPBIMDH_00093	CDS	1290		3.4.24.-	COG0612	putative zinc protease
OPPBIMDH_00094	CDS	714				hypothetical protein
OPPBIMDH_00095	CDS	222				hypothetical protein
OPPBIMDH_00096	CDS	1089	aroG_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
OPPBIMDH_00097	CDS	225				hypothetical protein
OPPBIMDH_00098	CDS	210				hypothetical protein
OPPBIMDH_00099	CDS	540				hypothetical protein
OPPBIMDH_00100	CDS	318				hypothetical protein
OPPBIMDH_00101	CDS	294				hypothetical protein
OPPBIMDH_00102	CDS	501				hypothetical protein
OPPBIMDH_00103	CDS	330				putative protein
OPPBIMDH_00104	CDS	519				hypothetical protein
OPPBIMDH_00105	CDS	966				hypothetical protein
OPPBIMDH_00106	CDS	1002	sigB_1		COG0568	RNA polymerase sigma factor SigB
OPPBIMDH_00107	CDS	948	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
OPPBIMDH_00108	CDS	915	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
OPPBIMDH_00109	CDS	678	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
OPPBIMDH_00110	CDS	747	tmk_1	2.7.4.9		Thymidylate kinase
OPPBIMDH_00111	CDS	582				hypothetical protein
OPPBIMDH_00112	CDS	270				hypothetical protein
OPPBIMDH_00113	CDS	729	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OPPBIMDH_00114	CDS	147				hypothetical protein
OPPBIMDH_00115	CDS	498	crtK-2_1		COG3476	Tryptophan-rich protein TspO
OPPBIMDH_00116	CDS	777				hypothetical protein
OPPBIMDH_00117	CDS	1341				hypothetical protein
OPPBIMDH_00118	CDS	1047				hypothetical protein
OPPBIMDH_00119	CDS	960	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
OPPBIMDH_00120	CDS	1071	ccpA_1		COG1609	Catabolite control protein A
OPPBIMDH_00121	CDS	1590	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
OPPBIMDH_00122	CDS	1434				hypothetical protein
OPPBIMDH_00123	CDS	1458	xylB_1	2.7.1.17	COG1070	Xylulose kinase
OPPBIMDH_00124	CDS	1188	xylA	5.3.1.5		Xylose isomerase
OPPBIMDH_00125	CDS	1260	mlc_1		COG1940	Protein mlc
OPPBIMDH_00126	CDS	1518				hypothetical protein
OPPBIMDH_00127	CDS	1038				hypothetical protein
OPPBIMDH_00128	CDS	516				hypothetical protein
OPPBIMDH_00129	CDS	1131				hypothetical protein
OPPBIMDH_00130	CDS	1482	wcaJ_1	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
OPPBIMDH_00131	CDS	1719				putative protein
OPPBIMDH_00132	CDS	1044	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
OPPBIMDH_00133	CDS	603				hypothetical protein
OPPBIMDH_00134	CDS	390				hypothetical protein
OPPBIMDH_00135	CDS	423			COG2018	Serine protease inhibitor
OPPBIMDH_00136	CDS	2349				hypothetical protein
OPPBIMDH_00137	CDS	600				hypothetical protein
OPPBIMDH_00138	CDS	1077				hypothetical protein
OPPBIMDH_00139	CDS	1659				hypothetical protein
OPPBIMDH_00140	CDS	324				hypothetical protein
OPPBIMDH_00141	CDS	384				hypothetical protein
OPPBIMDH_00142	CDS	1809				hypothetical protein
OPPBIMDH_00143	CDS	1239				hypothetical protein
OPPBIMDH_00144	CDS	795				hypothetical protein
OPPBIMDH_00145	CDS	5067	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
OPPBIMDH_00146	CDS	1968	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
OPPBIMDH_00147	CDS	1167	hutG	3.5.3.8		Formimidoylglutamase
OPPBIMDH_00148	CDS	918			COG3118	putative protein
OPPBIMDH_00149	CDS	1356	ccr	1.3.1.86		Crotonyl-CoA reductase
OPPBIMDH_00150	CDS	1251				hypothetical protein
OPPBIMDH_00151	CDS	2097				hypothetical protein
OPPBIMDH_00152	CDS	1251				hypothetical protein
OPPBIMDH_00153	CDS	810				hypothetical protein
OPPBIMDH_00154	CDS	333				hypothetical protein
OPPBIMDH_00155	CDS	1080				hypothetical protein
OPPBIMDH_00156	CDS	495	sigE_1		COG1595	RNA polymerase sigma-E factor
OPPBIMDH_00157	CDS	1791	fadJ_1	5.1.2.3		Fatty acid oxidation complex subunit alpha
OPPBIMDH_00158	CDS	1065	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
OPPBIMDH_00159	CDS	447				hypothetical protein
OPPBIMDH_00160	CDS	1503	ald_1	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
OPPBIMDH_00161	CDS	705	nucS	3.1.-.-	COG1637	Endonuclease NucS
OPPBIMDH_00162	CDS	618				hypothetical protein
OPPBIMDH_00163	CDS	297				hypothetical protein
OPPBIMDH_00164	CDS	1992	ecm	5.4.99.63	COG1884	Ethylmalonyl-CoA mutase
OPPBIMDH_00165	CDS	2154				hypothetical protein
OPPBIMDH_00166	CDS	681	ytrE_1		COG1136	ABC transporter ATP-binding protein YtrE
OPPBIMDH_00167	CDS	525				hypothetical protein
OPPBIMDH_00168	CDS	849	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OPPBIMDH_00169	CDS	846				hypothetical protein
OPPBIMDH_00170	CDS	810				hypothetical protein
OPPBIMDH_00171	CDS	849		1.1.1.35	COG1250	3-hydroxybutyryl-CoA dehydrogenase
OPPBIMDH_00172	CDS	1368	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
OPPBIMDH_00173	CDS	573		2.5.1.17	COG2096	Corrinoid adenosyltransferase
OPPBIMDH_00174	CDS	417				Tn3 family transposase ISAau4
OPPBIMDH_00175	CDS	579				hypothetical protein
OPPBIMDH_00176	CDS	7248				hypothetical protein
OPPBIMDH_00177	CDS	14649	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
OPPBIMDH_00178	CDS	10146				hypothetical protein
OPPBIMDH_00179	CDS	25671	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
OPPBIMDH_00180	CDS	4323	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
OPPBIMDH_00181	CDS	456				hypothetical protein
OPPBIMDH_00182	CDS	279	atpC		COG0355	ATP synthase epsilon chain
OPPBIMDH_00183	CDS	1140	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
OPPBIMDH_00184	CDS	1446	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
OPPBIMDH_00185	CDS	930	atpG		COG0224	ATP synthase gamma chain
OPPBIMDH_00186	CDS	1653	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
OPPBIMDH_00187	CDS	822	atpH_1			ATP synthase subunit delta
OPPBIMDH_00188	CDS	540	atpF		COG0711	ATP synthase subunit b
OPPBIMDH_00189	CDS	228	atpH_2			ATP synthase subunit c
OPPBIMDH_00190	CDS	798	atpB		COG0356	ATP synthase subunit a
OPPBIMDH_00191	CDS	237				hypothetical protein
OPPBIMDH_00192	CDS	432				hypothetical protein
OPPBIMDH_00193	CDS	1317	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
OPPBIMDH_00194	CDS	1464				hypothetical protein
OPPBIMDH_00195	CDS	2109	ponA1_1		COG0744	Penicillin-binding protein 1A
OPPBIMDH_00196	CDS	612				hypothetical protein
OPPBIMDH_00197	CDS	645		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
OPPBIMDH_00198	CDS	891	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
OPPBIMDH_00199	CDS	1554				hypothetical protein
OPPBIMDH_00200	CDS	1089	prfA		COG0216	Peptide chain release factor 1
OPPBIMDH_00201	CDS	225	rpmE		COG0254	50S ribosomal protein L31
OPPBIMDH_00202	CDS	3429	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OPPBIMDH_00203	CDS	2082	rho	3.6.4.-		Transcription termination factor Rho
OPPBIMDH_00204	CDS	903	thrB	2.7.1.39	COG0083	Homoserine kinase
OPPBIMDH_00205	CDS	1245	entS_1			Enterobactin exporter EntS
OPPBIMDH_00206	CDS	822				hypothetical protein
OPPBIMDH_00207	CDS	3246	swrC		COG0841	Swarming motility protein SwrC
OPPBIMDH_00208	CDS	1050	thrC_1	4.2.3.1	COG0498	Threonine synthase
OPPBIMDH_00209	CDS	1305	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
OPPBIMDH_00210	CDS	1386	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
OPPBIMDH_00211	CDS	1668	argS_1	6.1.1.19	COG0018	Arginine--tRNA ligase
OPPBIMDH_00212	CDS	837				hypothetical protein
OPPBIMDH_00213	CDS	675				hypothetical protein
OPPBIMDH_00214	CDS	618				hypothetical protein
OPPBIMDH_00215	tRNA	73				tRNA-Arg(ccg)
OPPBIMDH_00216	CDS	396	ytrA		COG1725	HTH-type transcriptional repressor YtrA
OPPBIMDH_00217	CDS	900	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
OPPBIMDH_00218	CDS	972				hypothetical protein
OPPBIMDH_00219	CDS	1998				hypothetical protein
OPPBIMDH_00220	CDS	1152	oxdC	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
OPPBIMDH_00221	CDS	246				hypothetical protein
OPPBIMDH_00222	CDS	732				hypothetical protein
OPPBIMDH_00223	CDS	960	ligd		COG1793	Bifunctional non-homologous end joining protein LigD
OPPBIMDH_00224	CDS	402	yybR		COG1733	putative HTH-type transcriptional regulator YybR
OPPBIMDH_00225	CDS	546				hypothetical protein
OPPBIMDH_00226	CDS	2181	ydfJ_1		COG2409	Membrane protein YdfJ
OPPBIMDH_00227	CDS	1257			COG1926	putative protein
OPPBIMDH_00228	CDS	198				hypothetical protein
OPPBIMDH_00229	CDS	897				hypothetical protein
OPPBIMDH_00230	CDS	417				hypothetical protein
OPPBIMDH_00231	CDS	423				hypothetical protein
OPPBIMDH_00232	CDS	759	novJ	1.1.1.-		Short-chain reductase protein NovJ
OPPBIMDH_00233	CDS	1653	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
OPPBIMDH_00234	CDS	597				hypothetical protein
OPPBIMDH_00235	CDS	663			COG0586	putative membrane protein
OPPBIMDH_00236	CDS	1425				hypothetical protein
OPPBIMDH_00237	CDS	747	yidC_1		COG0706	Membrane protein insertase YidC
OPPBIMDH_00238	CDS	276				hypothetical protein
OPPBIMDH_00239	CDS	1149	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
OPPBIMDH_00240	CDS	1377	npr	1.11.1.1	COG0446	NADH peroxidase
OPPBIMDH_00241	CDS	1422				hypothetical protein
OPPBIMDH_00242	CDS	873				hypothetical protein
OPPBIMDH_00243	CDS	810	nei1_1	3.2.2.-	COG0266	Endonuclease 8 1
OPPBIMDH_00244	CDS	747				hypothetical protein
OPPBIMDH_00245	CDS	1419				hypothetical protein
OPPBIMDH_00246	CDS	852				hypothetical protein
OPPBIMDH_00247	CDS	822		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
OPPBIMDH_00248	CDS	1203	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
OPPBIMDH_00249	CDS	1149				hypothetical protein
OPPBIMDH_00250	CDS	765				hypothetical protein
OPPBIMDH_00251	CDS	1053				hypothetical protein
OPPBIMDH_00252	CDS	780	lvr_1	1.1.1.-		Levodione reductase
OPPBIMDH_00253	CDS	3405				hypothetical protein
OPPBIMDH_00254	CDS	306	cutA		COG1324	Divalent-cation tolerance protein CutA
OPPBIMDH_00255	CDS	1023				hypothetical protein
OPPBIMDH_00256	CDS	834				hypothetical protein
OPPBIMDH_00257	CDS	1494	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
OPPBIMDH_00258	CDS	1119	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OPPBIMDH_00259	CDS	672				hypothetical protein
OPPBIMDH_00260	CDS	1515				hypothetical protein
OPPBIMDH_00261	CDS	1557	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
OPPBIMDH_00262	CDS	735	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
OPPBIMDH_00263	CDS	621				hypothetical protein
OPPBIMDH_00264	CDS	831				hypothetical protein
OPPBIMDH_00265	CDS	882				hypothetical protein
OPPBIMDH_00266	CDS	777				hypothetical protein
OPPBIMDH_00267	CDS	657				hypothetical protein
OPPBIMDH_00268	CDS	942	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OPPBIMDH_00269	CDS	828				hypothetical protein
OPPBIMDH_00270	CDS	3744	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
OPPBIMDH_00271	CDS	180				hypothetical protein
OPPBIMDH_00272	CDS	2013	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
OPPBIMDH_00273	CDS	1113	ackA	2.7.2.1	COG0282	Acetate kinase
OPPBIMDH_00274	CDS	198				hypothetical protein
OPPBIMDH_00275	CDS	666				hypothetical protein
OPPBIMDH_00276	CDS	666				hypothetical protein
OPPBIMDH_00277	CDS	966				hypothetical protein
OPPBIMDH_00278	CDS	954	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
OPPBIMDH_00279	CDS	1176		1.1.1.38		NAD-dependent malic enzyme
OPPBIMDH_00280	CDS	339				hypothetical protein
OPPBIMDH_00281	CDS	405	sodN	1.15.1.1		Superoxide dismutase [Ni]
OPPBIMDH_00282	CDS	525				hypothetical protein
OPPBIMDH_00283	CDS	408	rsbW_1	2.7.11.1		Serine-protein kinase RsbW
OPPBIMDH_00284	CDS	447				hypothetical protein
OPPBIMDH_00285	CDS	936	yegS_1	2.7.1.-		lipid kinase YegS
OPPBIMDH_00286	CDS	258	whiB1			Transcriptional regulator WhiB1
OPPBIMDH_00287	CDS	717				hypothetical protein
OPPBIMDH_00288	CDS	750	cysH	1.8.4.8	COG0175	putative phosphoadenosine phosphosulfate reductase
OPPBIMDH_00289	CDS	159				hypothetical protein
OPPBIMDH_00290	CDS	1710	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
OPPBIMDH_00291	CDS	1872				hypothetical protein
OPPBIMDH_00292	CDS	1593	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
OPPBIMDH_00293	CDS	1029	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
OPPBIMDH_00294	CDS	1602				hypothetical protein
OPPBIMDH_00295	CDS	1590	bmr3_1			Multidrug resistance protein 3
OPPBIMDH_00296	CDS	585				hypothetical protein
OPPBIMDH_00297	CDS	513				hypothetical protein
OPPBIMDH_00298	CDS	216			COG0511	Biotinylated protein TB7.3
OPPBIMDH_00299	CDS	99				hypothetical protein
OPPBIMDH_00300	CDS	288	rsrA			Anti-sigma factor RsrA
OPPBIMDH_00301	CDS	810				hypothetical protein
OPPBIMDH_00302	CDS	612				hypothetical protein
OPPBIMDH_00303	CDS	393	whiB_1			Transcriptional regulator WhiB
OPPBIMDH_00304	CDS	708	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
OPPBIMDH_00305	CDS	1302	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
OPPBIMDH_00306	CDS	936	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
OPPBIMDH_00307	CDS	819	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
OPPBIMDH_00308	CDS	963				hypothetical protein
OPPBIMDH_00309	CDS	1266	mshA_2	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
OPPBIMDH_00310	CDS	999	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
OPPBIMDH_00311	CDS	732				hypothetical protein
OPPBIMDH_00312	CDS	573				hypothetical protein
OPPBIMDH_00313	CDS	648	vraR_1			Response regulator protein VraR
OPPBIMDH_00314	CDS	1074				hypothetical protein
OPPBIMDH_00315	CDS	585				hypothetical protein
OPPBIMDH_00316	CDS	939	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
OPPBIMDH_00317	CDS	1515	glpK	2.7.1.30	COG0554	Glycerol kinase
OPPBIMDH_00318	CDS	834	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OPPBIMDH_00319	CDS	1326	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
OPPBIMDH_00320	CDS	249				hypothetical protein
OPPBIMDH_00321	tRNA	75				tRNA-Met(cat)
OPPBIMDH_00322	tRNA	75				tRNA-Met(cat)
OPPBIMDH_00323	CDS	927				hypothetical protein
OPPBIMDH_00324	CDS	510	sigE_2		COG1595	RNA polymerase sigma-E factor
OPPBIMDH_00325	CDS	2967				hypothetical protein
OPPBIMDH_00326	CDS	999	ylbL		COG3480	putative protein YlbL
OPPBIMDH_00327	CDS	1389				hypothetical protein
OPPBIMDH_00328	CDS	636				hypothetical protein
OPPBIMDH_00329	CDS	522				hypothetical protein
OPPBIMDH_00330	CDS	168				hypothetical protein
OPPBIMDH_00331	CDS	1113				hypothetical protein
OPPBIMDH_00332	CDS	1347	ubiB_1	2.7.-.-		protein kinase UbiB
OPPBIMDH_00333	CDS	366	whiB_2			Transcriptional regulator WhiB
OPPBIMDH_00334	CDS	2097	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
OPPBIMDH_00335	CDS	243		1.-.-.-	COG0695	Putative glutaredoxin.1
OPPBIMDH_00336	CDS	1254				hypothetical protein
OPPBIMDH_00337	CDS	981				hypothetical protein
OPPBIMDH_00338	CDS	240				hypothetical protein
OPPBIMDH_00339	CDS	270				hypothetical protein
OPPBIMDH_00340	CDS	948	nudC_1	3.6.1.22		NADH pyrophosphatase
OPPBIMDH_00341	CDS	1344				hypothetical protein
OPPBIMDH_00342	CDS	1311		3.4.24.-	COG0612	putative zinc protease
OPPBIMDH_00343	CDS	1062				hypothetical protein
OPPBIMDH_00344	CDS	780	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
OPPBIMDH_00345	CDS	885				hypothetical protein
OPPBIMDH_00346	CDS	444			COG1959	Putative HTH-type transcriptional regulator
OPPBIMDH_00347	CDS	186				hypothetical protein
OPPBIMDH_00348	CDS	1254	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
OPPBIMDH_00349	CDS	204	cspG		COG1278	Cold shock-like protein CspG
OPPBIMDH_00350	CDS	3405	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
OPPBIMDH_00351	CDS	3699	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
OPPBIMDH_00352	CDS	546	log	3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
OPPBIMDH_00353	CDS	864				hypothetical protein
OPPBIMDH_00354	CDS	162				hypothetical protein
OPPBIMDH_00355	CDS	1083	dapE_2	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
OPPBIMDH_00356	CDS	960	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
OPPBIMDH_00357	CDS	3351				hypothetical protein
OPPBIMDH_00358	CDS	567	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
OPPBIMDH_00359	CDS	2586				hypothetical protein
OPPBIMDH_00360	CDS	648				hypothetical protein
OPPBIMDH_00361	CDS	645				hypothetical protein
OPPBIMDH_00362	CDS	1017	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
OPPBIMDH_00363	CDS	999	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
OPPBIMDH_00364	CDS	327	fdxA		COG1146	Ferredoxin
OPPBIMDH_00365	CDS	1038				hypothetical protein
OPPBIMDH_00366	CDS	465				hypothetical protein
OPPBIMDH_00367	CDS	495				hypothetical protein
OPPBIMDH_00368	tRNA	87				tRNA-Arg(cct)
OPPBIMDH_00369	CDS	2145	dap4	3.4.14.5		Dipeptidyl aminopeptidase 4
OPPBIMDH_00370	CDS	1743				hypothetical protein
OPPBIMDH_00371	CDS	987	dppB_1		COG0601	Dipeptide transport system permease protein DppB
OPPBIMDH_00372	CDS	1008	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
OPPBIMDH_00373	CDS	369	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
OPPBIMDH_00374	CDS	1104	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
OPPBIMDH_00375	CDS	549				hypothetical protein
OPPBIMDH_00376	CDS	1437	tldD	3.4.-.-	COG0312	Metalloprotease TldD
OPPBIMDH_00377	CDS	1404				hypothetical protein
OPPBIMDH_00378	CDS	822				hypothetical protein
