locus_tag	ftype	length_bp	gene	EC_number	COG	product
ONHDLDEL_00063	CDS	294				hypothetical protein
ONHDLDEL_00064	CDS	288	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
ONHDLDEL_00065	CDS	141	ngcG_2		COG0395	Diacetylchitobiose uptake system permease protein NgcG
ONHDLDEL_00066	CDS	528	ngcG_3		COG0395	Diacetylchitobiose uptake system permease protein NgcG
ONHDLDEL_00067	CDS	276	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
ONHDLDEL_00068	CDS	279	ngcF_2		COG1175	Diacetylchitobiose uptake system permease protein NgcF
ONHDLDEL_00069	CDS	150				hypothetical protein
ONHDLDEL_00070	CDS	186				hypothetical protein
ONHDLDEL_00071	CDS	1692				hypothetical protein
ONHDLDEL_00072	CDS	192				hypothetical protein
ONHDLDEL_00073	CDS	750				hypothetical protein
ONHDLDEL_00074	CDS	501				hypothetical protein
ONHDLDEL_00075	CDS	531				hypothetical protein
ONHDLDEL_00076	CDS	300				hypothetical protein
ONHDLDEL_00077	CDS	750	ngcG_4		COG0395	Diacetylchitobiose uptake system permease protein NgcG
ONHDLDEL_00078	CDS	318				hypothetical protein
ONHDLDEL_00079	CDS	369	ngcF_3		COG1175	Diacetylchitobiose uptake system permease protein NgcF
ONHDLDEL_00080	CDS	123				hypothetical protein
ONHDLDEL_00081	CDS	132				hypothetical protein
ONHDLDEL_00082	CDS	102				hypothetical protein
ONHDLDEL_00083	CDS	318				hypothetical protein
ONHDLDEL_00084	CDS	123				hypothetical protein
ONHDLDEL_00085	CDS	447	ngcE			Diacetylchitobiose binding protein NgcE
ONHDLDEL_00086	CDS	228				hypothetical protein
ONHDLDEL_00087	CDS	465				hypothetical protein
ONHDLDEL_00088	CDS	171				hypothetical protein
ONHDLDEL_00089	CDS	483				hypothetical protein
ONHDLDEL_00090	CDS	465	argD_1	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
ONHDLDEL_00091	CDS	327				hypothetical protein
ONHDLDEL_00092	CDS	126				hypothetical protein
ONHDLDEL_00093	CDS	672				hypothetical protein
ONHDLDEL_00094	CDS	252				hypothetical protein
ONHDLDEL_00095	CDS	225				hypothetical protein
ONHDLDEL_00096	CDS	171				hypothetical protein
ONHDLDEL_00097	CDS	378				hypothetical protein
ONHDLDEL_00098	CDS	228				hypothetical protein
ONHDLDEL_00099	CDS	636				hypothetical protein
ONHDLDEL_00100	CDS	537				hypothetical protein
ONHDLDEL_00101	CDS	966	murD2	6.3.2.53		UDP-N-acetylmuramoyl-L-alanine--L-glutamate ligase
ONHDLDEL_00102	CDS	105				hypothetical protein
ONHDLDEL_00103	CDS	132				hypothetical protein
ONHDLDEL_00104	CDS	747	murL_1	5.1.1.23		UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase
ONHDLDEL_00105	CDS	429	murL_2	5.1.1.23		UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase
ONHDLDEL_00106	CDS	480				hypothetical protein
ONHDLDEL_00107	CDS	507				hypothetical protein
ONHDLDEL_00108	CDS	291				hypothetical protein
ONHDLDEL_00109	CDS	702	argG_1	6.3.4.5		Argininosuccinate synthase
ONHDLDEL_00110	CDS	270	argG_2	6.3.4.5		Argininosuccinate synthase
ONHDLDEL_00111	CDS	225	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
ONHDLDEL_00112	CDS	153				hypothetical protein
ONHDLDEL_00113	CDS	990	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
ONHDLDEL_00114	CDS	762	ydaP_1		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
ONHDLDEL_00115	CDS	201				hypothetical protein
ONHDLDEL_00116	CDS	132				hypothetical protein
ONHDLDEL_00117	CDS	270				hypothetical protein
ONHDLDEL_00118	CDS	135				hypothetical protein
ONHDLDEL_00119	CDS	624				hypothetical protein
ONHDLDEL_00120	CDS	1086				hypothetical protein
ONHDLDEL_00121	CDS	960	pbpG		COG0744	Penicillin-binding protein 2D
ONHDLDEL_00122	CDS	219				hypothetical protein
ONHDLDEL_00123	CDS	270				hypothetical protein
ONHDLDEL_00124	CDS	312				hypothetical protein
ONHDLDEL_00125	CDS	333				hypothetical protein
ONHDLDEL_00126	CDS	249				hypothetical protein
ONHDLDEL_00127	CDS	366			COG0330	putative protein
ONHDLDEL_00128	CDS	474				hypothetical protein
ONHDLDEL_00129	CDS	192				hypothetical protein
ONHDLDEL_00130	CDS	312				hypothetical protein
ONHDLDEL_00131	CDS	258				hypothetical protein
ONHDLDEL_00132	CDS	174				hypothetical protein
ONHDLDEL_00133	CDS	603				hypothetical protein
ONHDLDEL_00134	CDS	567				hypothetical protein
ONHDLDEL_00135	CDS	258				hypothetical protein
ONHDLDEL_00136	CDS	210				hypothetical protein
ONHDLDEL_00137	CDS	750	hemH	4.99.1.1	COG0276	Ferrochelatase
ONHDLDEL_00138	CDS	726				hypothetical protein
ONHDLDEL_00139	CDS	318				hypothetical protein
ONHDLDEL_00140	CDS	327				hypothetical protein
ONHDLDEL_00141	CDS	666	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
ONHDLDEL_00142	CDS	951				hypothetical protein
ONHDLDEL_00143	CDS	513			COG1721	putative protein
ONHDLDEL_00144	CDS	282				hypothetical protein
ONHDLDEL_00145	CDS	393				hypothetical protein
ONHDLDEL_00146	CDS	183				hypothetical protein
ONHDLDEL_00147	CDS	840				hypothetical protein
ONHDLDEL_00148	CDS	528				hypothetical protein
ONHDLDEL_00149	CDS	936				hypothetical protein
ONHDLDEL_00150	CDS	513				hypothetical protein
ONHDLDEL_00151	CDS	642				hypothetical protein
ONHDLDEL_00152	CDS	573				hypothetical protein
ONHDLDEL_00153	CDS	912				hypothetical protein
ONHDLDEL_00154	CDS	474				hypothetical protein
ONHDLDEL_00155	CDS	636				hypothetical protein
ONHDLDEL_00156	CDS	753	bcr_1			Bicyclomycin resistance protein
ONHDLDEL_00157	CDS	108				hypothetical protein
ONHDLDEL_00158	CDS	651				hypothetical protein
ONHDLDEL_00159	CDS	186				hypothetical protein
ONHDLDEL_00160	CDS	882	scrK	2.7.1.4	COG0524	Fructokinase
ONHDLDEL_00161	CDS	207		1.14.99.54		Lytic cellulose monooxygenase
ONHDLDEL_00162	CDS	138				hypothetical protein
ONHDLDEL_00163	CDS	204				hypothetical protein
ONHDLDEL_00164	CDS	591	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
ONHDLDEL_00165	CDS	270	asnB_2	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
ONHDLDEL_00166	CDS	498				hypothetical protein
ONHDLDEL_00167	CDS	879				hypothetical protein
ONHDLDEL_00168	CDS	447	pepPI_1	3.4.11.9		Xaa-Pro aminopeptidase 1
ONHDLDEL_00169	CDS	1008				hypothetical protein
ONHDLDEL_00170	CDS	1578				hypothetical protein
ONHDLDEL_00171	CDS	1032				hypothetical protein
ONHDLDEL_00172	CDS	192				hypothetical protein
ONHDLDEL_00173	CDS	213				hypothetical protein
ONHDLDEL_00174	CDS	222				hypothetical protein
ONHDLDEL_00175	CDS	705				hypothetical protein
ONHDLDEL_00176	CDS	1962	amy	3.2.1.1		Alpha-amylase
ONHDLDEL_00177	CDS	363				hypothetical protein
ONHDLDEL_00178	CDS	588				hypothetical protein
ONHDLDEL_00179	CDS	309				hypothetical protein
ONHDLDEL_00180	CDS	384				hypothetical protein
ONHDLDEL_00181	CDS	708				hypothetical protein
ONHDLDEL_00182	CDS	144				hypothetical protein
ONHDLDEL_00183	CDS	231				hypothetical protein
ONHDLDEL_00184	CDS	705				hypothetical protein
ONHDLDEL_00185	CDS	186				hypothetical protein
ONHDLDEL_00186	CDS	231				hypothetical protein
ONHDLDEL_00187	CDS	468				hypothetical protein
ONHDLDEL_00188	CDS	333				hypothetical protein
ONHDLDEL_00189	CDS	228				hypothetical protein
ONHDLDEL_00190	CDS	561				hypothetical protein
ONHDLDEL_00191	CDS	117				hypothetical protein
ONHDLDEL_00192	CDS	159				hypothetical protein
ONHDLDEL_00193	CDS	312				hypothetical protein
ONHDLDEL_00194	CDS	381				hypothetical protein
ONHDLDEL_00195	CDS	159				hypothetical protein
ONHDLDEL_00196	CDS	873	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
ONHDLDEL_00197	CDS	951	acn_1	4.2.1.3	COG1048	Aconitate hydratase A
ONHDLDEL_00198	CDS	615	acn_2	4.2.1.3	COG1048	Aconitate hydratase A
ONHDLDEL_00199	CDS	156				hypothetical protein
ONHDLDEL_00200	CDS	957				hypothetical protein
ONHDLDEL_00201	CDS	501				hypothetical protein
ONHDLDEL_00202	CDS	234				hypothetical protein
ONHDLDEL_00203	CDS	237				hypothetical protein
ONHDLDEL_00204	CDS	660				hypothetical protein
ONHDLDEL_00205	CDS	405				hypothetical protein
ONHDLDEL_00206	CDS	477				hypothetical protein
ONHDLDEL_00207	CDS	780				hypothetical protein
ONHDLDEL_00208	CDS	162				hypothetical protein
ONHDLDEL_00209	CDS	204				hypothetical protein
ONHDLDEL_00210	CDS	393				hypothetical protein
ONHDLDEL_00211	CDS	135				hypothetical protein
ONHDLDEL_00212	CDS	90				hypothetical protein
ONHDLDEL_00213	CDS	231				hypothetical protein
ONHDLDEL_00214	CDS	567				hypothetical protein
ONHDLDEL_00215	CDS	150				hypothetical protein
ONHDLDEL_00216	CDS	246				hypothetical protein
ONHDLDEL_00217	CDS	384				hypothetical protein
ONHDLDEL_00218	CDS	411				hypothetical protein
ONHDLDEL_00219	CDS	438				hypothetical protein
ONHDLDEL_00220	CDS	507				hypothetical protein
ONHDLDEL_00221	CDS	333				hypothetical protein
ONHDLDEL_00222	CDS	477				hypothetical protein
ONHDLDEL_00223	CDS	858	ent-cdps	5.5.1.13		Ent-copalyl diphosphate synthase
ONHDLDEL_00224	CDS	705				hypothetical protein
ONHDLDEL_00225	CDS	597	ptlI	1.14.15.32	COG2124	Pentalenene oxygenase
ONHDLDEL_00226	CDS	777				hypothetical protein
ONHDLDEL_00227	CDS	105				hypothetical protein
ONHDLDEL_00228	CDS	336				hypothetical protein
ONHDLDEL_00229	CDS	858				hypothetical protein
ONHDLDEL_00230	CDS	423				hypothetical protein
ONHDLDEL_00231	CDS	573				HTH-type transcriptional repressor
ONHDLDEL_00232	CDS	618				hypothetical protein
ONHDLDEL_00233	CDS	354				hypothetical protein
ONHDLDEL_00234	CDS	819				hypothetical protein
ONHDLDEL_00235	CDS	219				hypothetical protein
ONHDLDEL_00236	CDS	567				hypothetical protein
ONHDLDEL_00237	CDS	261				hypothetical protein
ONHDLDEL_00238	CDS	420	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
ONHDLDEL_00239	CDS	870	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ONHDLDEL_00240	CDS	102				hypothetical protein
ONHDLDEL_00241	CDS	936			COG1132	putative ABC transporter ATP-binding protein
ONHDLDEL_00242	CDS	555	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
ONHDLDEL_00243	CDS	423				hypothetical protein
ONHDLDEL_00244	CDS	588				hypothetical protein
ONHDLDEL_00245	CDS	564				hypothetical protein
ONHDLDEL_00246	CDS	291				hypothetical protein
ONHDLDEL_00247	CDS	558			COG2321	putative protein
ONHDLDEL_00248	CDS	351				hypothetical protein
ONHDLDEL_00249	CDS	120				hypothetical protein
ONHDLDEL_00250	CDS	342				hypothetical protein
ONHDLDEL_00251	CDS	450				hypothetical protein
ONHDLDEL_00252	CDS	771				hypothetical protein
ONHDLDEL_00253	CDS	273				hypothetical protein
ONHDLDEL_00254	CDS	330	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
ONHDLDEL_00255	CDS	231	sufS_1	4.4.1.16		Cysteine desulfurase
ONHDLDEL_00256	CDS	564	csd	2.8.1.7	COG0520	putative cysteine desulfurase
ONHDLDEL_00257	CDS	267	sufS_2	2.8.1.7	COG0520	Cysteine desulfurase SufS
ONHDLDEL_00258	CDS	384	sufC		COG0396	Vegetative protein 296
ONHDLDEL_00259	CDS	171				hypothetical protein
ONHDLDEL_00260	CDS	336	carAc			Ferredoxin CarAc
ONHDLDEL_00261	CDS	327				hypothetical protein
ONHDLDEL_00262	CDS	588				hypothetical protein
ONHDLDEL_00263	CDS	378				hypothetical protein
ONHDLDEL_00264	CDS	501				hypothetical protein
ONHDLDEL_00265	CDS	552				hypothetical protein
ONHDLDEL_00266	CDS	534				hypothetical protein
ONHDLDEL_00267	CDS	438				hypothetical protein
ONHDLDEL_00268	CDS	273				hypothetical protein
ONHDLDEL_00269	CDS	186				hypothetical protein
ONHDLDEL_00270	CDS	186				hypothetical protein
ONHDLDEL_00271	CDS	348				hypothetical protein
ONHDLDEL_00272	CDS	237				hypothetical protein
ONHDLDEL_00273	CDS	597				hypothetical protein
ONHDLDEL_00274	CDS	177				hypothetical protein
ONHDLDEL_00275	CDS	276				hypothetical protein
ONHDLDEL_00276	CDS	924				hypothetical protein
ONHDLDEL_00277	CDS	135				hypothetical protein
ONHDLDEL_00278	CDS	333				hypothetical protein
ONHDLDEL_00279	CDS	279	cyoE	2.5.1.141		Protoheme IX farnesyltransferase
ONHDLDEL_00280	CDS	375	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
ONHDLDEL_00281	CDS	294				hypothetical protein
ONHDLDEL_00282	CDS	603				hypothetical protein
ONHDLDEL_00283	CDS	1548	tkt	2.2.1.1	COG0021	Transketolase
ONHDLDEL_00284	CDS	855	tal_1	2.2.1.2		Transaldolase
ONHDLDEL_00285	CDS	222				hypothetical protein
ONHDLDEL_00286	CDS	336				hypothetical protein
ONHDLDEL_00287	CDS	495				hypothetical protein
ONHDLDEL_00288	CDS	342				hypothetical protein
ONHDLDEL_00289	CDS	255				hypothetical protein
ONHDLDEL_00290	CDS	549	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
ONHDLDEL_00291	CDS	291				hypothetical protein
ONHDLDEL_00292	CDS	738				hypothetical protein
ONHDLDEL_00293	CDS	252				hypothetical protein
ONHDLDEL_00294	CDS	1443				hypothetical protein
ONHDLDEL_00295	CDS	291				hypothetical protein
ONHDLDEL_00296	CDS	792	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
ONHDLDEL_00297	CDS	750	pgk_1	2.7.2.3	COG0126	Phosphoglycerate kinase
ONHDLDEL_00298	CDS	387	pgk_2	2.7.2.3	COG0126	Phosphoglycerate kinase
ONHDLDEL_00299	CDS	303	gapA_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
ONHDLDEL_00300	CDS	168	gapA_2	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
ONHDLDEL_00301	CDS	129				hypothetical protein
ONHDLDEL_00302	CDS	441				hypothetical protein
ONHDLDEL_00303	CDS	102				hypothetical protein
ONHDLDEL_00304	CDS	450	whiA		COG1481	putative cell division protein WhiA
ONHDLDEL_00305	CDS	255				hypothetical protein
ONHDLDEL_00306	CDS	210				hypothetical protein
ONHDLDEL_00307	CDS	180				hypothetical protein
ONHDLDEL_00308	CDS	411			COG0391	Putative gluconeogenesis factor
ONHDLDEL_00309	CDS	141				hypothetical protein
ONHDLDEL_00310	CDS	843			COG1660	Nucleotide-binding protein
ONHDLDEL_00311	CDS	711	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ONHDLDEL_00312	CDS	732	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
ONHDLDEL_00313	CDS	420	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ONHDLDEL_00314	CDS	339				hypothetical protein
ONHDLDEL_00315	CDS	204				hypothetical protein
ONHDLDEL_00316	CDS	828				hypothetical protein
ONHDLDEL_00317	CDS	546	uvrC_1			UvrABC system protein C
ONHDLDEL_00318	CDS	612	uvrC_2			UvrABC system protein C
ONHDLDEL_00319	CDS	933	uvrC_3			UvrABC system protein C
ONHDLDEL_00320	CDS	366	uvrA_1			UvrABC system protein A
ONHDLDEL_00321	CDS	1089	uvrA_2		COG0178	UvrABC system protein A
ONHDLDEL_00322	CDS	219	uvrA_3		COG0178	UvrABC system protein A
ONHDLDEL_00323	CDS	339				hypothetical protein
ONHDLDEL_00324	CDS	147				hypothetical protein
ONHDLDEL_00325	CDS	393	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
ONHDLDEL_00326	CDS	492				hypothetical protein
ONHDLDEL_00327	CDS	510				hypothetical protein
ONHDLDEL_00328	CDS	564	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
ONHDLDEL_00329	CDS	609				hypothetical protein
ONHDLDEL_00330	CDS	423				hypothetical protein
ONHDLDEL_00331	CDS	204	scoF		COG1278	Cold shock protein ScoF
ONHDLDEL_00332	CDS	1191				hypothetical protein
ONHDLDEL_00333	CDS	498				hypothetical protein
ONHDLDEL_00334	CDS	909				hypothetical protein
ONHDLDEL_00335	CDS	345				hypothetical protein
ONHDLDEL_00336	CDS	654				hypothetical protein
ONHDLDEL_00337	CDS	351				hypothetical protein
ONHDLDEL_00338	CDS	357				hypothetical protein
ONHDLDEL_00339	CDS	1779	apeX_1		COG2409	Apo-petrobactin exporter
ONHDLDEL_00340	CDS	678				hypothetical protein
ONHDLDEL_00341	CDS	144				hypothetical protein
ONHDLDEL_00342	CDS	246				hypothetical protein
ONHDLDEL_00343	CDS	486				hypothetical protein
ONHDLDEL_00344	CDS	300	lepA_1	3.6.5.-		Elongation factor 4
ONHDLDEL_00345	CDS	1470	typA		COG1217	GTP-binding protein TypA/BipA
ONHDLDEL_00346	CDS	198				hypothetical protein
ONHDLDEL_00347	CDS	249				hypothetical protein
ONHDLDEL_00348	CDS	321				hypothetical protein
ONHDLDEL_00349	CDS	171				hypothetical protein
ONHDLDEL_00350	CDS	219				hypothetical protein
ONHDLDEL_00351	CDS	276				hypothetical protein
ONHDLDEL_00352	CDS	243				hypothetical protein
ONHDLDEL_00353	CDS	372				hypothetical protein
ONHDLDEL_00354	CDS	1098	ykfB	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
ONHDLDEL_00355	CDS	999				hypothetical protein
ONHDLDEL_00356	CDS	144				hypothetical protein
ONHDLDEL_00357	CDS	159				hypothetical protein
ONHDLDEL_00358	CDS	591				hypothetical protein
ONHDLDEL_00359	CDS	294				hypothetical protein
ONHDLDEL_00360	CDS	621				hypothetical protein
ONHDLDEL_00361	CDS	423				hypothetical protein
ONHDLDEL_00362	CDS	288				hypothetical protein
ONHDLDEL_00363	CDS	1452	uvrB_1			UvrABC system protein B
ONHDLDEL_00364	CDS	249	uvrB_2		COG0556	UvrABC system protein B
ONHDLDEL_00365	CDS	639	uvrB_3		COG0556	UvrABC system protein B
ONHDLDEL_00366	CDS	372				hypothetical protein
ONHDLDEL_00367	CDS	501				hypothetical protein
ONHDLDEL_00368	CDS	306				hypothetical protein
ONHDLDEL_00369	CDS	231				hypothetical protein
ONHDLDEL_00370	CDS	564	coaE_1	2.7.1.24	COG0237	Dephospho-CoA kinase
ONHDLDEL_00371	CDS	273	coaE_2	2.7.1.24	COG0237	Dephospho-CoA kinase
ONHDLDEL_00372	CDS	786	rpsA		COG0539	30S ribosomal protein S1
ONHDLDEL_00373	CDS	801				hypothetical protein
ONHDLDEL_00374	CDS	120				hypothetical protein
ONHDLDEL_00375	CDS	102				hypothetical protein
ONHDLDEL_00376	CDS	348				hypothetical protein
ONHDLDEL_00377	CDS	306				hypothetical protein
ONHDLDEL_00378	CDS	702				hypothetical protein
ONHDLDEL_00379	CDS	396				hypothetical protein
ONHDLDEL_00380	CDS	150				hypothetical protein
ONHDLDEL_00381	CDS	375				hypothetical protein
ONHDLDEL_00382	CDS	2388	polA_2	2.7.7.7	COG0258	DNA polymerase I
ONHDLDEL_00383	CDS	510	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
ONHDLDEL_00384	CDS	252				hypothetical protein
ONHDLDEL_00385	CDS	480	yecS		COG0765	L-cystine transport system permease protein YecS
ONHDLDEL_00386	CDS	951				hypothetical protein
ONHDLDEL_00387	CDS	213				hypothetical protein
ONHDLDEL_00388	CDS	1608	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ONHDLDEL_00389	CDS	501				hypothetical protein
ONHDLDEL_00390	CDS	648				hypothetical protein
ONHDLDEL_00391	CDS	846				hypothetical protein
ONHDLDEL_00392	CDS	504	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
ONHDLDEL_00393	CDS	276				hypothetical protein
ONHDLDEL_00394	CDS	579				hypothetical protein
ONHDLDEL_00395	CDS	270				hypothetical protein
ONHDLDEL_00396	CDS	651	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
ONHDLDEL_00397	tRNA	78				tRNA-Leu(caa)
ONHDLDEL_00398	CDS	639				hypothetical protein
ONHDLDEL_00399	CDS	417	metZ_1	2.5.1.-		O-succinylhomoserine sulfhydrylase
ONHDLDEL_00400	CDS	432				hypothetical protein
ONHDLDEL_00401	CDS	186				hypothetical protein
ONHDLDEL_00402	CDS	144				hypothetical protein
ONHDLDEL_00403	CDS	357				hypothetical protein
ONHDLDEL_00404	CDS	996				hypothetical protein
ONHDLDEL_00405	CDS	336				hypothetical protein
ONHDLDEL_00406	CDS	225				hypothetical protein
ONHDLDEL_00407	CDS	114				hypothetical protein
ONHDLDEL_00408	CDS	579				hypothetical protein
ONHDLDEL_00409	CDS	195				hypothetical protein
ONHDLDEL_00410	CDS	996				hypothetical protein
ONHDLDEL_00411	CDS	261				hypothetical protein
ONHDLDEL_00412	CDS	162				hypothetical protein
ONHDLDEL_00413	CDS	462	tesB_1	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
ONHDLDEL_00414	CDS	282	tesB_2	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
ONHDLDEL_00415	CDS	93				hypothetical protein
ONHDLDEL_00416	CDS	900				hypothetical protein
ONHDLDEL_00417	CDS	288	pyk	2.7.1.40	COG0469	Pyruvate kinase
ONHDLDEL_00418	CDS	363				hypothetical protein
ONHDLDEL_00419	CDS	867	pdxI_1	1.1.1.65		Pyridoxine 4-dehydrogenase
ONHDLDEL_00420	CDS	324				hypothetical protein
ONHDLDEL_00421	CDS	504	betA	1.1.99.1		Oxygen-dependent choline dehydrogenase
ONHDLDEL_00422	CDS	603	alkJ	1.1.99.-		Alcohol dehydrogenase [acceptor]
ONHDLDEL_00423	CDS	882				hypothetical protein
ONHDLDEL_00424	CDS	162				hypothetical protein
ONHDLDEL_00425	CDS	1272				hypothetical protein
ONHDLDEL_00426	CDS	558				hypothetical protein
ONHDLDEL_00427	CDS	183				hypothetical protein
ONHDLDEL_00428	CDS	171				hypothetical protein
ONHDLDEL_00429	CDS	159				hypothetical protein
ONHDLDEL_00430	CDS	864				hypothetical protein
ONHDLDEL_00431	CDS	483				hypothetical protein
ONHDLDEL_00432	CDS	276				hypothetical protein
ONHDLDEL_00433	CDS	219				hypothetical protein
ONHDLDEL_00434	CDS	231	mngR		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
ONHDLDEL_00435	CDS	315				hypothetical protein
ONHDLDEL_00436	CDS	276				hypothetical protein
ONHDLDEL_00437	CDS	255				hypothetical protein
ONHDLDEL_00438	CDS	225				hypothetical protein
ONHDLDEL_00439	CDS	312				hypothetical protein
ONHDLDEL_00440	CDS	1533	bmr3_1			Multidrug resistance protein 3
ONHDLDEL_00441	CDS	102				hypothetical protein
ONHDLDEL_00442	CDS	180				hypothetical protein
ONHDLDEL_00443	CDS	1761				hypothetical protein
ONHDLDEL_00444	CDS	417				hypothetical protein
ONHDLDEL_00445	CDS	264				hypothetical protein
ONHDLDEL_00446	CDS	117				hypothetical protein
